iter	RMSE
0	4.316830391
1	3.88782419
2	3.461683037
3	3.094861322
4	2.77965276
5	2.499473687
6	2.297590997
7	2.100093761
8	1.930168286
9	1.799118803
10	1.673297981
11	1.578341296
12	1.494688911
13	1.410931071
14	1.365824608
15	1.311956537
16	1.260033999
17	1.209459299
18	1.162925672
19	1.139345985
20	1.094627299
21	1.054411463
22	1.014641469
23	0.9842038953
24	0.9727345036
25	0.9641367896
26	0.9563599113
27	0.9493288828
28	0.918815663
29	0.9129239137
30	0.9076039524
31	0.9028025764
32	0.8816233262
33	0.8760926543
34	0.8595200114
35	0.8503895475
36	0.8474055066
37	0.8353127579
38	0.8289375087
39	0.8142055651
40	0.8076231411
41	0.8012464566
42	0.7905932303
43	0.7832069059
44	0.7765085995
45	0.7719348644
46	0.7705038172
47	0.7577748243
48	0.7566077556
49	0.7416158203
50	0.7301361955
51	0.7192256815
52	0.7147040165
53	0.7129510506
54	0.6957582829
55	0.6842830243
56	0.676592157
57	0.6717682663
58	0.6587791069
59	0.6449719432
60	0.6334110669
61	0.6222369561
62	0.6213027787
63	0.6203581886
64	0.6195176771
65	0.6124512234
66	0.596666282
67	0.5819190579
68	0.5803401338
69	0.5671924466
70	0.5652061227
71	0.5551790686
72	0.5511901288
73	0.5414401287
74	0.5330033042
75	0.5300363705
76	0.5268907383
77	0.52474104
78	0.5185523533
79	0.5178423769
80	0.5162416393
81	0.5106188337
82	0.4989941034
83	0.4977249666
84	0.494353542
85	0.4923756731
86	0.4874696575
87	0.4831149184
88	0.4823986771
89	0.4811668114
90	0.4786412845
91	0.4782752303
92	0.4703054727
93	0.4701705025
94	0.466748295
95	0.4634924022
96	0.4611134004
97	0.4577691348
98	0.4545757138
99	0.4508174263
