iter	Passed	Remaining
0	16	1682
1	21	1050
2	24	779
3	26	631
4	28	543
5	29	464
6	30	409
7	32	369
8	33	335
9	34	311
10	35	290
11	37	274
12	38	260
13	40	247
14	41	235
15	42	224
16	44	215
17	45	207
18	46	198
19	48	192
20	49	184
21	50	178
22	51	172
23	52	166
24	54	162
25	54	155
26	55	148
27	55	142
28	56	138
29	57	133
30	58	129
31	58	124
32	59	121
33	60	117
34	62	115
35	65	116
36	66	113
37	69	112
38	71	112
39	73	110
40	75	108
41	76	105
42	78	103
43	79	101
44	80	98
45	81	95
46	83	93
47	84	91
48	85	88
49	86	86
50	87	84
51	88	81
52	90	79
53	91	77
54	92	75
55	94	74
56	95	72
57	96	69
58	97	67
59	99	66
60	100	64
61	101	62
62	102	60
63	103	58
64	105	56
65	106	54
66	107	53
67	108	51
68	109	49
69	110	47
70	112	45
71	113	44
72	114	42
73	115	40
74	117	39
75	119	37
76	120	36
77	122	34
78	123	32
79	124	31
80	125	29
81	128	28
82	129	26
83	130	24
84	131	23
85	132	21
86	134	20
87	135	18
88	137	16
89	139	15
90	141	14
91	143	12
92	145	10
93	146	9
94	149	7
95	150	6
96	153	4
97	155	3
98	156	1
99	158	0
